,m,n,snr,snr2,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
119,100,100,4.000000,1.000000,0.350000,1.921859,-1.621968,0.996383
120,100,100,4.000000,1.000000,0.400000,1.769544,-1.350126,0.995883
121,100,100,4.000000,1.000000,0.450000,1.662760,-1.154563,0.997068
122,100,100,4.000000,1.000000,0.500000,1.556117,-0.961469,0.997662
123,100,100,4.000000,1.000000,0.550000,1.481462,-0.824918,0.997554
124,100,100,4.000000,1.000000,0.600000,1.409857,-0.690842,0.998105
125,100,100,4.000000,1.000000,0.650000,1.349987,-0.577162,0.998059
126,100,100,4.000000,1.000000,0.700000,1.277706,-0.457092,0.997903
127,100,100,4.000000,1.000000,0.750000,1.228057,-0.372312,0.997876
128,100,100,4.000000,1.000000,0.800000,1.184637,-0.286951,0.998687
129,100,100,4.000000,1.000000,0.850000,1.144546,-0.216862,0.998813
130,100,100,4.000000,1.000000,0.900000,1.090680,-0.129398,0.998731
131,100,100,4.000000,1.000000,0.950000,1.057074,-0.069661,0.998978
132,100,100,4.000000,1.000000,1.000000,1.019209,-0.005423,0.999217
133,100,100,4.000000,2.000000,0.100000,3.847279,-5.188224,0.984870
134,100,100,4.000000,2.000000,0.150000,3.011453,-3.644688,0.989593
135,100,100,4.000000,2.000000,0.200000,2.628967,-2.918173,0.991447
136,100,100,4.000000,2.000000,0.250000,2.325385,-2.359293,0.993960
137,100,100,4.000000,2.000000,0.300000,2.092992,-1.930635,0.994811
138,100,100,4.000000,2.000000,0.350000,1.958402,-1.659546,0.995302
139,100,100,4.000000,2.000000,0.400000,1.813778,-1.395689,0.994605
140,100,100,4.000000,2.000000,0.450000,1.702497,-1.192421,0.995913
141,100,100,4.000000,2.000000,0.500000,1.593286,-0.994941,0.995474
142,100,100,4.000000,2.000000,0.550000,1.513839,-0.852842,0.996096
143,100,100,4.000000,2.000000,0.600000,1.444319,-0.719817,0.994632
144,100,100,4.000000,2.000000,0.650000,1.384769,-0.604799,0.993636
145,100,100,4.000000,2.000000,0.700000,1.310107,-0.481729,0.993318
146,100,100,4.000000,2.000000,0.750000,1.258009,-0.393456,0.991981
147,100,100,4.000000,2.000000,0.800000,1.213409,-0.306275,0.993358
148,100,100,4.000000,2.000000,0.850000,1.172321,-0.234678,0.993317
149,100,100,4.000000,2.000000,0.900000,1.116920,-0.144912,0.991149
150,100,100,4.000000,2.000000,0.950000,1.082379,-0.084064,0.990702
151,100,100,4.000000,2.000000,1.000000,1.043628,-0.018205,0.989548
152,100,100,4.000000,3.000000,0.100000,3.941779,-5.321132,0.985901
153,100,100,4.000000,3.000000,0.150000,3.081666,-3.732178,0.988760
154,100,100,4.000000,3.000000,0.200000,2.717302,-3.029329,0.987804
155,100,100,4.000000,3.000000,0.250000,2.408667,-2.460179,0.989203
156,100,100,4.000000,3.000000,0.300000,2.167557,-2.016495,0.990218
157,100,100,4.000000,3.000000,0.350000,2.028724,-1.737350,0.985621
158,100,100,4.000000,3.000000,0.400000,1.889770,-1.477785,0.979542
159,100,100,4.000000,3.000000,0.450000,1.774149,-1.266163,0.976611
160,100,100,4.000000,3.000000,0.500000,1.655895,-1.056545,0.972982
161,100,100,4.000000,3.000000,0.550000,1.569940,-0.905528,0.975986
162,100,100,4.000000,3.000000,0.600000,1.499737,-0.769727,0.965846
