,m,n,p,snr,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
42,10,50,0.3,3.0,2.332454829210825,-1.7184191122500507,0.9203467248141062
43,10,50,0.3,4.0,2.2188836919026365,-1.60391284761102,0.8825454586666
44,10,50,0.3,5.0,2.5877081792477012,-1.9437147573277276,0.9319194071558448
45,10,50,0.3,6.0,2.8067132993252626,-2.1454365801271096,0.9335981475147108
46,10,50,0.3,7.0,2.731947644808929,-2.0696911774835525,0.9312772180974317
47,10,50,0.3,8.0,2.8378390829193028,-2.2219009844288915,0.9424104385106797
48,10,50,0.3,9.0,3.1076504905081537,-2.4958908742315886,0.9358598594882844
49,10,50,0.3,10.0,2.9433708320713174,-2.291940764202365,0.9229355380017978
50,10,50,0.35,1.0,1.9404070909152942,-1.3085275658974314,0.9546157713528528
51,10,50,0.35,2.0,2.047202879645705,-1.3715695367306655,0.9424859937049973
52,10,50,0.35,3.0,2.1925574021502565,-1.5446335872860104,0.9535525849350271
53,10,50,0.35,4.0,2.262058659123719,-1.5765573268040511,0.9268680779602537
54,10,50,0.35,5.0,2.2175899258128267,-1.5449418163862148,0.9293840865449964
55,10,50,0.35,6.0,2.3116335232817358,-1.6677779804656878,0.917818136746012
56,10,50,0.35,7.0,2.3852844679270646,-1.673306423276864,0.9430042869917374
57,10,50,0.35,8.0,2.376027216403307,-1.7182553120758748,0.9447129958389349
58,10,50,0.35,9.0,2.4113876899404536,-1.6624541552314245,0.9505243027432682
59,10,50,0.35,10.0,2.2834199231473438,-1.596925243391052,0.9546499703750768
60,10,50,0.4,1.0,1.6402944910111397,-0.985771237663057,0.9622130748941201
61,10,50,0.4,2.0,1.7751167445046547,-1.0960331280049906,0.9492930927542458
62,10,50,0.4,3.0,1.8346395467031822,-1.1449953744033952,0.9475679040897056
63,10,50,0.4,4.0,1.8097367405289995,-1.1120522002041047,0.9544586838344712
64,10,50,0.4,5.0,2.035428039194497,-1.3110016315039066,0.9436683003494645
65,10,50,0.4,6.0,2.1325518800250722,-1.4153031464182628,0.9602367468501314
66,10,50,0.4,7.0,2.0957364656471733,-1.4010334674517462,0.9382257114027546
67,10,50,0.4,8.0,2.052148035451053,-1.3625694976189635,0.9564744656681456
68,10,50,0.4,9.0,2.245914048369811,-1.5426847071183938,0.9604247730225198
69,10,50,0.4,10.0,2.3828156949735733,-1.6159992968387447,0.9205307917964639
70,10,50,0.45,1.0,1.5997563550789953,-0.9062151242572736,0.9587301572273471
71,10,50,0.45,2.0,1.7703593728635707,-1.0448309933451219,0.969245902692963
72,10,50,0.45,3.0,1.7377521906597413,-1.00461991963225,0.9499475793848479
73,10,50,0.45,4.0,1.8598655099894579,-1.1139494251375506,0.9431524839812676
74,10,50,0.45,5.0,1.8136657927978117,-1.0816210920277534,0.9587890468424272
75,10,50,0.45,6.0,1.8528157495855262,-1.105521824568512,0.9677420111987646
76,10,50,0.45,7.0,1.931022010893874,-1.1672686725106707,0.9470897129302165
77,10,50,0.45,8.0,1.8854499765603556,-1.1157220818081564,0.9648359039459329
78,10,50,0.45,9.0,1.9207214879812302,-1.1617383157582397,0.940516366019194
79,10,50,0.45,10.0,1.9314160183056697,-1.1615187436151517,0.9391671915492479
80,10,50,0.5,1.0,1.576704873349753,-0.8266947798482291,0.9694346409047128
81,10,50,0.5,2.0,1.5395640884966588,-0.7836343186550097,0.9555043428042937
82,10,50,0.5,3.0,1.7492230556089723,-0.97980563723413,0.9586435360069302
83,10,50,0.5,4.0,1.890169754506348,-1.1301823197272713,0.958065924631958
84,10,50,0.5,5.0,1.7439425657056922,-0.931001973745019,0.9538774382325854
85,10,50,0.5,6.0,1.853086111848278,-1.0665319149424328,0.9634452948571699
86,10,50,0.5,7.0,1.7403760086670048,-0.9631482552279707,0.9541370445838095
87,10,50,0.5,8.0,1.8740409222444772,-1.072253363942282,0.9509961837915821
88,10,50,0.5,9.0,1.7473726379730543,-0.9521855604637566,0.9690310862768253
89,10,50,0.5,10.0,1.797054939560099,-1.0113586794398315,0.9583410426508324
90,10,50,0.55,1.0,1.3279626095724641,-0.565947671106183,0.9573514475009292
91,10,50,0.55,2.0,1.553912069203049,-0.7518685087786159,0.9613867523599948
92,10,50,0.55,3.0,1.6367367876978662,-0.8442110332111248,0.9733518549963083
93,10,50,0.55,4.0,1.6981768884484922,-0.8904796269313653,0.968064703852594
94,10,50,0.55,5.0,1.488908135115761,-0.6617700107985479,0.95599122560353
95,10,50,0.55,6.0,1.6384609942418613,-0.8258198515332488,0.9416455305552397
96,10,50,0.55,7.0,1.582265765491313,-0.775229321595636,0.9697386179722937
97,10,50,0.55,8.0,1.7065434218038789,-0.890272040887585,0.9560886000479165
98,10,50,0.55,9.0,1.666741533383016,-0.863291309839223,0.9622839133630473
99,10,50,0.55,10.0,1.556172260452114,-0.7565000727405199,0.9477271874269997
100,10,50,0.6,1.0,1.3415269757872474,-0.5268466835769502,0.9634097284036958
101,10,50,0.6,2.0,1.5452466305174883,-0.7193306021869565,0.9666382575472184
102,10,50,0.6,3.0,1.4446126071540082,-0.62747122488114,0.9579944890952999
103,10,50,0.6,4.0,1.662559743993111,-0.7966361824953132,0.9619180340552272
104,10,50,0.6,5.0,1.629650759306433,-0.786677234821396,0.9557853360422934
105,10,50,0.6,6.0,1.5766762907167977,-0.7407197046567049,0.9663435658282526
106,10,50,0.6,7.0,1.7492570667841836,-0.8718333453956546,0.9565392909241851
107,10,50,0.6,8.0,1.471904849198352,-0.6374154199593505,0.9465748037092808
108,10,50,0.6,9.0,1.4837454741474836,-0.6522940030310533,0.9426884257100634
109,10,50,0.6,10.0,1.5252286298478375,-0.6651725228957039,0.9370392190133968
110,10,50,0.65,1.0,1.312274079852002,-0.4881143586199177,0.9617453597943879
111,10,50,0.65,2.0,1.4109034737183044,-0.5635806316585372,0.9585344555245865
112,10,50,0.65,3.0,1.3876981205844838,-0.5205093973479945,0.9549201618378275
113,10,50,0.65,4.0,1.4116381865240992,-0.5508484512759813,0.9506916259029158
114,10,50,0.65,5.0,1.4447995109477838,-0.575098950536612,0.9720609911063178
115,10,50,0.65,6.0,1.4915720047191663,-0.6256790682684168,0.9464704866921286
116,10,50,0.65,7.0,1.3412881132041574,-0.48456938549859097,0.9565206673249478
117,10,50,0.65,8.0,1.3912105292162014,-0.5384901097597139,0.9505043018526065
118,10,50,0.65,9.0,1.5037533617329377,-0.6425038617146643,0.9579772503347161
119,10,50,0.65,10.0,1.4856001901623064,-0.6103577067630745,0.9617981961497879
120,10,50,0.7,1.0,1.3005874317568948,-0.4484444601047534,0.9624184147876615
121,10,50,0.7,2.0,1.3218814509663621,-0.4419982454184634,0.9660794637496275
122,10,50,0.7,3.0,1.3934132088379152,-0.5124715995451634,0.9728908420465124
123,10,50,0.7,4.0,1.2861860024419118,-0.3915686684521214,0.9733061215335072
124,10,50,0.7,5.0,1.3795001565646463,-0.4990607872165823,0.9596956397751008
125,10,50,0.7,6.0,1.2082408894539856,-0.3314134240810601,0.9596728120323889
126,10,50,0.7,7.0,1.362280232207413,-0.4766414489700903,0.9660336843161778
127,10,50,0.7,8.0,1.3411859879287107,-0.44799885818713686,0.9433224987200208
128,10,50,0.7,9.0,1.333525803596459,-0.4257791773788829,0.9677782191871375
129,10,50,0.7,10.0,1.2724120164443744,-0.37530877996585954,0.9494623908028321
130,10,50,0.75,1.0,1.2632656751113895,-0.36186744809608706,0.9732022504516857
131,10,50,0.75,2.0,1.3009476061884717,-0.3837062166298521,0.9556654047916442
132,10,50,0.75,3.0,1.3593285866423372,-0.4425748283422112,0.9626144192359458
133,10,50,0.75,4.0,1.2936492154840402,-0.3632367199940961,0.9538666765929463
134,10,50,0.75,5.0,1.256688545866846,-0.332879610435513,0.9628891214440646
135,10,50,0.75,6.0,1.3097601251626396,-0.4024519375033129,0.9644887965239318
136,10,50,0.75,7.0,1.3345139180319927,-0.41781532686653045,0.9644581150305418
137,10,50,0.75,8.0,1.3284809323382054,-0.40953367364283955,0.9700162772352628
138,10,50,0.75,9.0,1.33076599247613,-0.4062738100348531,0.9554985289332315
139,10,50,0.75,10.0,1.3969343895724522,-0.45989971435635824,0.9599471802307544
140,10,50,0.8,1.0,1.2077078538271073,-0.2786457709487113,0.9541964580307851
141,10,50,0.8,2.0,1.3133472058782136,-0.3702408383553575,0.9657795481063414
142,10,50,0.8,3.0,1.3433179647215852,-0.38771089850192997,0.9545908450607918
143,10,50,0.8,4.0,1.2484158076102456,-0.30842274854168894,0.9631994343573951
144,10,50,0.8,5.0,1.2701958287335375,-0.32458147186725095,0.9591642699554491
145,10,50,0.8,6.0,1.2624617539574108,-0.33449657868801913,0.9619110826345784
146,10,50,0.8,7.0,1.2463070943590102,-0.2990686796756356,0.9569110569654302
147,10,50,0.8,8.0,1.294073504788815,-0.3640241820911022,0.9683408659017616
148,10,50,0.8,9.0,1.3109553310984476,-0.3719612406743456,0.9693297767977415
149,10,50,0.8,10.0,1.2498751416884066,-0.30077310705954846,0.9739049714481617
150,10,50,0.85,1.0,1.1248101848459515,-0.17924360200075734,0.9709832020761697
151,10,50,0.85,2.0,1.2036335336322377,-0.22455812664497482,0.9711941544700693
152,10,50,0.85,3.0,1.189852855784021,-0.23070340834602643,0.9545396085388855
153,10,50,0.85,4.0,1.183517636046372,-0.20975181048189073,0.9520093829494837
154,10,50,0.85,5.0,1.185338822887936,-0.2205477656797905,0.974858812278257
155,10,50,0.85,6.0,1.1935892422760594,-0.22479709360666736,0.9552930850948383
156,10,50,0.85,7.0,1.2239973595495721,-0.24528306490580776,0.9610100286751942
157,10,50,0.85,8.0,1.1952088920894937,-0.22391426790939625,0.9747661142395107
158,10,50,0.85,9.0,1.190239177625228,-0.21652123271482449,0.973971863511353
159,10,50,0.85,10.0,1.2287840266664225,-0.2619586592046281,0.9628166443537305
160,10,50,0.9,1.0,1.14397991415889,-0.1673035129915606,0.9536495746297289
